ID,YEAR,NA_SEO,NA_ADVERTISING,NA_RETAIL_SUPPORT,EU_SEO,EU_ADVERTISING,EU_RETAIL_SUPPORT,AP_SEO,AP_ADVERTISING,AP_RETAIL_SUPPORT,LA_SEO,LA_ADVERTISING,LA_RETAIL_SUPPORT
0,10,5000,10000,4000,4500,9000,4000,4000,8000,2750,4000,7500,2750
1,11,5400,13150,4400,5950,12100,4375,5150,12350,3225,4225,11050,3275
2,12,7250,16650,4675,7325,16050,4750,6350,16300,3475,5275,15500,4100
3,13,8125,20600,4450,9550,20250,4325,7775,20600,3625,7550,18800,4500
4,14,7825,18750,3575,7600,20550,3575,6850,19850,3350,7875,22450,4325
5,15,9200,21000,3250,9900,25250,3250,8225,22750,3025,11250,25800,4375
6,16,9725,22750,3300,9650,25900,3225,8525,23450,3300,10675,26000,2195
